observation_month,published_at,available_at,cape,source,source_url,source_sha256,downloaded_at
1874-04-01,2026-06-08T00:11:02,1874-04-15,11.26,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-05-01,2026-06-08T00:11:02,1874-05-15,11.02,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-06-01,2026-06-08T00:11:02,1874-06-15,11.19,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-07-01,2026-06-08T00:11:02,1874-07-15,11.07,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-08-01,2026-06-08T00:11:02,1874-08-14,11.14,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-09-01,2026-06-08T00:11:02,1874-09-15,11.28,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-10-01,2026-06-08T00:11:02,1874-10-15,11.4,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-11-01,2026-06-08T00:11:02,1874-11-13,11.56,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1874-12-01,2026-06-08T00:11:02,1874-12-15,11.45,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-01-01,2026-06-08T00:11:02,1875-01-15,11.41,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-02-01,2026-06-08T00:11:02,1875-02-15,11.35,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-03-01,2026-06-08T00:11:02,1875-03-15,11.48,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-04-01,2026-06-08T00:11:02,1875-04-15,11.51,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-05-01,2026-06-08T00:11:02,1875-05-14,11.33,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-06-01,2026-06-08T00:11:02,1875-06-15,11.28,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-07-01,2026-06-08T00:11:02,1875-07-15,11.29,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-08-01,2026-06-08T00:11:02,1875-08-13,11.24,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-09-01,2026-06-08T00:11:02,1875-09-15,11.24,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-10-01,2026-06-08T00:11:02,1875-10-15,11.06,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-11-01,2026-06-08T00:11:02,1875-11-15,11.34,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1875-12-01,2026-06-08T00:11:02,1875-12-15,11.45,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-01-01,2026-06-08T00:11:02,1876-01-14,11.79,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-02-01,2026-06-08T00:11:02,1876-02-15,11.96,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-03-01,2026-06-08T00:11:02,1876-03-15,11.95,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-04-01,2026-06-08T00:11:02,1876-04-14,11.63,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-05-01,2026-06-08T00:11:02,1876-05-15,11.63,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-06-01,2026-06-08T00:11:02,1876-06-15,11.88,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-07-01,2026-06-08T00:11:02,1876-07-14,11.75,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-08-01,2026-06-08T00:11:02,1876-08-15,11.18,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-09-01,2026-06-08T00:11:02,1876-09-15,10.42,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-10-01,2026-06-08T00:11:02,1876-10-13,10.2,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-11-01,2026-06-08T00:11:02,1876-11-15,9.94,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1876-12-01,2026-06-08T00:11:02,1876-12-15,9.74,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-01-01,2026-06-08T00:11:02,1877-01-15,9.52,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-02-01,2026-06-08T00:11:02,1877-02-15,9.23,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-03-01,2026-06-08T00:11:02,1877-03-15,9.2,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-04-01,2026-06-08T00:11:02,1877-04-13,8.31,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-05-01,2026-06-08T00:11:02,1877-05-15,8.18,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-06-01,2026-06-08T00:11:02,1877-06-15,8.05,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-07-01,2026-06-08T00:11:02,1877-07-13,8.35,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-08-01,2026-06-08T00:11:02,1877-08-15,9.29,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-09-01,2026-06-08T00:11:02,1877-09-14,9.99,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-10-01,2026-06-08T00:11:02,1877-10-15,10.22,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-11-01,2026-06-08T00:11:02,1877-11-15,10.27,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1877-12-01,2026-06-08T00:11:02,1877-12-14,10.25,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-01-01,2026-06-08T00:11:02,1878-01-15,10.57,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-02-01,2026-06-08T00:11:02,1878-02-15,10.45,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-03-01,2026-06-08T00:11:02,1878-03-15,10.88,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-04-01,2026-06-08T00:11:02,1878-04-15,11.29,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-05-01,2026-06-08T00:11:02,1878-05-15,11.71,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-06-01,2026-06-08T00:11:02,1878-06-14,12.21,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-07-01,2026-06-08T00:11:02,1878-07-15,12.31,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-08-01,2026-06-08T00:11:02,1878-08-15,12.06,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-09-01,2026-06-08T00:11:02,1878-09-13,12.3,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-10-01,2026-06-08T00:11:02,1878-10-15,12.28,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-11-01,2026-06-08T00:11:02,1878-11-15,12.37,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1878-12-01,2026-06-08T00:11:02,1878-12-13,12.58,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-01-01,2026-06-08T00:11:02,1879-01-15,12.87,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-02-01,2026-06-08T00:11:02,1879-02-14,13.18,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-03-01,2026-06-08T00:11:02,1879-03-14,13.09,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-04-01,2026-06-08T00:11:02,1879-04-15,13.66,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-05-01,2026-06-08T00:11:02,1879-05-15,14.25,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-06-01,2026-06-08T00:11:02,1879-06-13,14.45,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-07-01,2026-06-08T00:11:02,1879-07-15,14.54,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-08-01,2026-06-08T00:11:02,1879-08-15,14.61,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-09-01,2026-06-08T00:11:02,1879-09-15,14.59,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-10-01,2026-06-08T00:11:02,1879-10-15,15.29,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-11-01,2026-06-08T00:11:02,1879-11-14,15.26,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1879-12-01,2026-06-08T00:11:02,1879-12-15,14.77,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-01-01,2026-06-08T00:11:02,1880-01-15,14.87,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-02-01,2026-06-08T00:11:02,1880-02-13,15.12,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-03-01,2026-06-08T00:11:02,1880-03-15,15.23,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-04-01,2026-06-08T00:11:02,1880-04-15,15.46,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-05-01,2026-06-08T00:11:02,1880-05-14,14.63,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-06-01,2026-06-08T00:11:02,1880-06-15,14.95,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-07-01,2026-06-08T00:11:02,1880-07-15,15.59,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-08-01,2026-06-08T00:11:02,1880-08-13,16.1,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-09-01,2026-06-08T00:11:02,1880-09-15,15.86,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-10-01,2026-06-08T00:11:02,1880-10-15,16.26,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-11-01,2026-06-08T00:11:02,1880-11-15,16.87,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1880-12-01,2026-06-08T00:11:02,1880-12-15,17.33,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-01-01,2026-06-08T00:11:02,1881-01-14,18.47,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-01-01,2026-06-01T09:02:10,1881-01-14 00:00:00,18.47395230140494,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-02-01,2026-06-08T00:11:02,1881-02-15,18.15,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
1881-02-01,2026-06-01T09:02:10,1881-02-15 00:00:00,18.14725816499023,yale_shiller_ie_data,http://www.econ.yale.edu/~shiller/data/ie_data.xls,0df9392b7dacf91f756e92c8db508ad903c4588b43f3253680eec3dd8b40db68,2026-06-01T09:02:10
1881-03-01,2026-06-08T00:11:02,1881-03-15,18.28,multpl,https://www.multpl.com/shiller-pe/table/by-month,,2026-06-08T00:11:02
