date,signal_date,execution_price_mode,strategy_value,benchmark_value,strategy_flow,benchmark_flow,cash,cash_pct,spy_weight_actual,qqq_weight_actual,equity_exposure,multiplier,target_spy_weight,target_qqq_weight,core_spy_weight,core_qqq_weight,satellite_spy_weight,satellite_qqq_weight,panic_tier,satellite_signal,decision_cash_reservoir_pct,regime,reason,cape,vix,rsi14,spy_close,qqq_close,spy_trade_price,qqq_trade_price,trend_up,qqq_trend_up,spy_drawdown_252d,vix_sma20,spy_ret_21d,qqq_rel_63d,qqq_rel_126d,strategy_nav,benchmark_nav
2023-05-31,2023-05-30,next_open,99743.5912747067,99744.21839561997,0.0,0.0,0.0,0.0,0.40001508959295146,0.5999849104070486,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,17.46,59.958919528291766,402.099609375,341.9249267578125,402.513393949465,342.2983085945595,True,True,-0.009864830317311002,17.707500000000003,0.010218250927493733,0.12178286335700306,0.1627752045749422,1.0,1.0
2023-06-01,2023-05-31,next_open,102832.86274709366,102812.36246324141,2000.0,2000.0,0.0,0.0,0.3995215471014709,0.6004784528985291,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.01965725776869837,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,17.94,56.15534369954133,405.919921875,345.87481689453125,402.33050994129945,341.66941434054206,True,True,-0.015355330357030073,17.7155,0.005631720811722474,0.1263763879805444,0.1610952356833888,1.0109207163935672,1.0107088318982542
2023-06-02,2023-06-01,next_open,103890.09836695125,103940.94206095755,0.0,0.0,0.0,0.0,0.40117455722473266,0.5988254427752673,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,15.65,60.726776938791076,411.78997802734375,348.4688720703125,408.4988787329244,347.6336805484104,True,True,-0.0060003092334276475,17.581,0.02672576272565408,0.12810643731559024,0.1703146562015736,1.0213141000033552,1.0218034642905378
2023-06-05,2023-06-02,next_open,103854.07205586294,103877.64149876687,0.0,0.0,0.0,0.0,0.40054467448266245,0.5994553255173375,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,14.6,66.50556103700208,411.0008544921875,348.7144470214844,412.13636840253633,348.2526374452782,True,True,0.0,17.306500000000003,0.04877215426980963,0.11527663703566571,0.1466271181533063,1.0209599355539614,1.0211811807855447
2023-06-06,2023-06-05,next_open,103934.1404278084,103982.10829954153,0.0,0.0,0.0,0.0,0.4011076523237281,0.598892347676272,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,14.73,65.11838690209638,411.8958435058594,348.6555480957031,410.5871214183071,348.10531064293906,True,True,-0.0019163252562300892,17.183500000000002,0.0542294655926856,0.11771236631409909,0.14738399186979212,1.0217470650159373,1.0222081537647996
2023-06-07,2023-06-06,next_open,102733.98113649565,102921.91108025535,0.0,0.0,0.0,0.0,0.40439028897774293,0.5956097110222571,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.96,65.98495259782118,410.4715576171875,342.74053955078125,412.2903298100494,348.94056226274216,True,True,0.0,17.032500000000002,0.03732158814307174,0.11163721317478315,0.1479496411793635,1.0099486393167114,1.011785762260377
2023-06-08,2023-06-07,next_open,105760.35260013051,105883.38467882536,2000.0,2000.0,0.0,0.0,0.4027919440660718,0.5972080559339282,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.01909599900908454,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.94,63.29027944164594,412.9544067382813,346.9949951171875,410.5390091154699,343.03523458791426,True,True,-0.003457878760195876,16.844,0.033459202227606566,0.09290124363214791,0.13100120643493796,1.0200386061579096,1.0212376397820042
2023-06-09,2023-06-08,next_open,106078.23782944502,106180.13754275278,0.0,0.0,0.0,0.0,0.4023054616756722,0.5976945383243277,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.65,65.90424208474263,413.69537353515625,348.32147216796875,413.7531095499645,348.4492112149935,True,True,0.0,16.679499999999997,0.044289879347490846,0.09855736397673787,0.1454844611317896,1.0231045490964144,1.0240997998392696
2023-06-12,2023-06-09,next_open,107536.68857506412,107556.82165033283,0.0,0.0,0.0,0.0,0.40044932925948484,0.5995506707405152,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.83,66.66706710278324,417.4482727050781,354.2070617675781,414.67685648093624,349.9820178466813,True,True,0.0,16.5245,0.0412984519600168,0.10035078802582409,0.15054869186550146,1.0371710308084794,1.0373778191717173
2023-06-13,2023-06-12,next_open,108316.02035389273,108324.56206165164,0.0,0.0,0.0,0.0,0.4001892619259312,0.5998107380740688,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,15.01,70.29237832877098,420.2005004882813,356.9288024902344,418.9110140981565,356.9582784250545,True,True,0.0,16.4235,0.052580286405484955,0.0991517008699978,0.1548865863577631,1.0446875384776295,1.0447826202932409
2023-06-14,2023-06-13,next_open,108839.80885005972,108782.5620222452,0.0,0.0,0.0,0.0,0.3987376642038746,0.6012623357961254,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,14.61,72.64230062796297,420.700927734375,359.5227966308594,420.5373521609274,356.93862957320954,True,True,0.0,16.298,0.06091010418533527,0.09340596369550291,0.15486598274753272,1.0497393794975987,1.049199997015713
2023-06-15,2023-06-14,next_open,112184.66978657362,112131.74399185105,2000.0,2000.0,0.0,0.0,0.39886774273547554,0.6011322572645244,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.018044058544936063,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.88,73.05958408717049,425.9165954589844,363.8067626953125,419.8829186958016,358.2552123333636,True,True,0.0,16.092499999999998,0.05852176436265344,0.0874574831342867,0.1640164255282479,1.062710308975723,1.062212760202837
2023-06-16,2023-06-15,next_open,111607.8808228721,111587.5801071529,0.0,0.0,0.0,0.0,0.39956345629567674,0.6004365437043232,1.0,1.25,0.45,0.55,0.4,0.4,0.05,0.15,0,qqq_mild_strength_satellite_qqq_tilt,0.0,fair,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,29.939593027231528,14.5,76.997607230419,424.4658508300781,361.5173950195313,427.9043831698667,366.22391921096187,True,True,0.0,15.973999999999998,0.07885424241414629,0.07760369798997857,0.15980149030532376,1.0572464645931068,1.0570579503212576
2023-06-20,2023-06-16,next_open,111280.59463861902,111218.44113205574,0.0,0.0,0.0,0.0,0.3986595289480945,0.6013404710519056,1.0,1.25,0.45,0.55,0.4,0.4,0.05,0.15,0,qqq_mild_strength_satellite_qqq_tilt,0.0,fair,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,29.939593027231528,13.54,73.76758670201039,422.263671875,360.9999084472656,422.5244785007693,360.0652033270036,True,True,-0.003406170701902078,15.848500000000001,0.06228451900357013,0.0669613821656172,0.15763103503617537,1.054146126528621,1.0535611338473705
2023-06-21,2023-06-20,next_open,110141.34187504445,110174.35059320445,0.0,0.0,0.0,0.0,0.4007192660107034,0.5992807339892966,1.0,1.25,0.45,0.55,0.4,0.4,0.05,0.15,0,qqq_mild_strength_satellite_qqq_tilt,0.0,fair,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,29.939593027231528,13.88,69.03351980610061,420.10003662109375,356.08026123046875,421.2784119248558,359.85850638708854,True,True,-0.008576617166203282,15.702000000000002,0.04669021871757151,0.07746492624317547,0.17296190798152766,1.043354138116273,1.0436705689306642
