date,strategy_value,benchmark_value,strategy_flow,benchmark_flow,cash,cash_pct,spy_weight_actual,qqq_weight_actual,equity_exposure,multiplier,target_spy_weight,target_qqq_weight,regime,reason,cape,vix,rsi14,spy_close,qqq_close
2023-05-30,332311.91330500005,332311.913305,0.0,0.0,0.0,0.0,0.4499999999999999,0.55,1.0,1.25,0.45,0.55,fair,CAPE=28.8:fair,28.76,17.46,59.89682057653904,420.18,349.98
2023-05-31,330443.4295259953,330445.7689468195,0.0,0.0,0.0,0.0,0.45003504422253743,0.5499649557774625,1.0,1.25,0.45,0.55,fair,CAPE=28.8:fair,28.76,17.94,56.10118864668444,417.85,347.99
2023-06-01,335952.7182484147,335921.1944375579,2000.0,2000.0,0.0,0.0,0.44953552135385416,0.5504644786461459,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,15.65,60.67396302546593,421.82,352.01
2023-06-02,339523.61494404054,339608.66836549266,0.0,0.0,0.0,0.0,0.4512400151790838,0.5487599848209163,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,14.6,66.45582976452098,427.92,354.65
2023-06-05,339361.371951813,339401.86531852215,0.0,0.0,0.0,0.0,0.45059064519941566,0.5494093548005843,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,14.73,65.07085110213792,427.1,354.9
2023-06-06,339662.81519913825,339743.17019334016,0.0,0.0,0.0,0.0,0.4511710355196423,0.5488289644803576,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.96,65.93788365828213,428.03,354.84
2023-06-07,335970.30208614573,336279.2938245763,0.0,0.0,0.0,0.0,0.45455251281358583,0.5454474871864141,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.94,63.247262312030216,426.55,348.82
2023-06-08,341165.7950914906,341370.6224185208,2000.0,2000.0,0.0,0.0,0.45297185498484077,0.5470281450151592,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.65,65.86239261245008,429.13,353.15
2023-06-09,342156.51514462125,342327.2957541449,0.0,0.0,0.0,0.0,0.4524706939068074,0.5475293060931925,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.83,66.62565195865452,429.9,354.5
2023-06-12,346726.4882985441,346765.5480931512,0.0,0.0,0.0,0.0,0.4505576325715817,0.5494423674284182,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,15.01,70.2533838749511,433.8,360.49
2023-06-13,349220.2799686255,349240.7010422449,0.0,0.0,0.0,0.0,0.45028945717134566,0.5497105428286544,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,14.61,72.60506672339372,436.66,363.26
2023-06-14,350802.68930262455,350717.0858209088,0.0,0.0,0.0,0.0,0.44879209240004625,0.5512079075999536,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.88,73.02266833676882,437.18,365.9
2023-06-15,357055.6482078007,356977.45311253594,2000.0,2000.0,0.0,0.0,0.4489159512711732,0.5510840487288268,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,14.5,76.96428390450846,442.6,370.26
2023-06-16,354680.2600496522,354588.28130447055,0.0,0.0,0.0,0.0,0.4487163232918992,0.5512836767081009,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.54,70.53456060748222,439.46,367.93
2023-06-20,353307.18204742065,353173.21968864644,0.0,0.0,0.0,0.0,0.44812312426798284,0.5518768757320173,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.88,66.20930327896305,437.18,366.9
2023-06-21,349838.80868652,349856.2705820892,0.0,0.0,0.0,0.0,0.45024707488397986,0.5497529251160203,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.2,62.17539173865473,434.94,361.9
2023-06-22,354673.5962736489,354547.9414934443,2000.0,2000.0,0.0,0.0,0.4482462997850778,0.5517537002149222,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,12.91,63.83838865587531,436.51,366.17
2023-06-23,351531.7213942872,351448.8852112632,0.0,0.0,0.0,0.0,0.44883356442388245,0.5511664355761174,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.44,58.06016628375228,433.21,362.54
2023-06-26,348289.7374914377,348371.39459849754,0.0,0.0,0.0,0.0,0.4511605357162049,0.5488394642837952,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,14.25,55.17545553812336,431.44,357.68
2023-06-27,353299.1973055723,353273.4714699717,0.0,0.0,0.0,0.0,0.44963956078249345,0.5503604392175065,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.74,60.78297963411329,436.17,363.83
2023-06-28,353758.7691725095,353707.45116906834,0.0,0.0,0.0,0.0,0.44928192842363396,0.550718071576366,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.43,61.02718950443605,436.39,364.54
2023-06-29,355992.07529297145,356045.828549484,2000.0,2000.0,0.0,0.0,0.45074742849126315,0.5492525715087367,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.54,62.96873519120483,438.11,363.81
2023-06-30,360900.7361744837,360890.78657475294,0.0,0.0,0.0,0.0,0.44986353444664845,0.5501364655533515,1.0,1.25,0.45,0.55,fair,CAPE=29.9:fair,29.94,13.59,68.11119507074204,443.28,369.42
2023-07-03,361555.1103837677,361523.40817921975,0.0,0.0,0.0,0.0,0.4495659695907896,0.5504340304092104,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.57,68.574796516095,443.79,370.29
2023-07-05,361308.00376903533,361249.93103086145,0.0,0.0,0.0,0.0,0.44920439057269285,0.5507956094273071,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,14.18,67.21298143143912,443.13,370.28
2023-07-06,360518.4707886021,360456.96672060236,2000.0,2000.0,0.0,0.0,0.4491555352602816,0.5508444647397184,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,15.44,60.419379494654166,439.66,367.46
2023-07-07,359450.3173033579,359403.3285474832,0.0,0.0,0.0,0.0,0.44935291657738785,0.5506470834226123,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,14.83,58.38638270410099,438.55,366.24
2023-07-10,359923.988220493,359916.5280223214,0.0,0.0,0.0,0.0,0.44989740061191347,0.5501025993880866,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,15.07,59.84157952826078,439.66,366.36
2023-07-11,361933.435566504,361951.6323373057,0.0,0.0,0.0,0.0,0.45024886900909666,0.5497511309909034,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,14.84,63.325514463688656,442.46,368.17
2023-07-12,365757.6404262092,365693.06401031004,0.0,0.0,0.0,0.0,0.4491260517255966,0.5508739482744033,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.54,67.21943029759083,446.02,372.82
2023-07-13,372479.4162040112,372248.7084179449,2000.0,2000.0,0.0,0.0,0.4469340492619266,0.5530659507380734,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.61,70.56606841511862,449.56,379.15
2023-07-14,372332.2643207001,372093.9875063527,0.0,0.0,0.0,0.0,0.4468322105172075,0.5531677894827925,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.34,69.95769920406555,449.28,379.07
2023-07-17,374833.3460289104,374484.39992396906,0.0,0.0,0.0,0.0,0.4453918635101201,0.5546081364898798,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.48,71.43528417007306,450.84,382.61
2023-07-18,377774.503784716,377408.7892803026,0.0,0.0,0.0,0.0,0.44520802283184857,0.5547919771681514,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.3,74.35250387496481,454.19,385.74
2023-07-19,378099.61032550206,377779.89759866253,0.0,0.0,0.0,0.0,0.4458143887096495,0.5541856112903505,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.76,75.17565262024553,455.2,385.65
2023-07-20,374148.0398927179,374143.18363148905,2000.0,2000.0,0.0,0.0,0.44993575138576314,0.5500642486142369,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.99,68.13410448554039,452.18,376.76
2023-07-21,373530.77646164637,373582.03505778767,0.0,0.0,0.0,0.0,0.4506792748198774,0.5493207251801226,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.6,68.13410448554039,452.18,375.63
2023-07-24,374610.5549327256,374715.5766934567,0.0,0.0,0.0,0.0,0.4513877284256241,0.548612271574376,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.91,70.29268447877318,454.2,376.23
2023-07-25,376465.1354700113,376494.81979527103,0.0,0.0,0.0,0.0,0.4503903081485941,0.549609691851406,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.86,71.56599703906691,455.44,378.78
2023-07-26,375802.91980725573,375898.0702787115,0.0,0.0,0.0,0.0,0.451253302752271,0.5487466972477291,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.19,71.63989636312218,455.51,377.52
2023-07-27,376183.9750114127,376198.8943927366,2000.0,2000.0,0.0,0.0,0.4501963160114711,0.549803683988529,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,14.41,63.9212474093013,452.49,376.62
2023-07-28,381609.3092215066,381465.9754930736,0.0,0.0,0.0,0.0,0.44814076350183785,0.5518592364981623,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.33,69.1688148276739,456.92,383.48
2023-07-31,382044.7637200875,381927.6252527605,0.0,0.0,0.0,0.0,0.4484822840977523,0.5515177159022477,1.0,1.0,0.45,0.55,elevated,CAPE=30.9:elevated,30.89,13.63,70.08892276540385,457.79,383.68
2023-08-01,381065.70196312724,380938.518001848,0.0,0.0,0.0,0.0,0.44834789485097004,0.55165210514903,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,13.93,66.85365351271682,456.48,382.79
2023-08-02,374076.03831902886,374104.14509088686,0.0,0.0,0.0,0.0,0.450371925775633,0.549628074224367,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,16.09,53.87245177452413,450.13,374.39
2023-08-03,375260.72057986504,375265.13554135826,2000.0,2000.0,0.0,0.0,0.45005823700215186,0.549941762997848,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,15.92,51.6771754697871,448.84,373.79
2023-08-04,373530.6889501456,373538.0670140637,0.0,0.0,0.0,0.0,0.4500977735363526,0.5499022264636474,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,17.1,48.338985907344544,446.81,372.04
2023-08-07,376737.3105790037,376749.6400247086,0.0,0.0,0.0,0.0,0.45016199817359615,0.5498380018264039,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,15.77,54.42944210987658,450.71,375.19
2023-08-08,374238.58647113276,374329.0812743391,0.0,0.0,0.0,0.0,0.4511969617566575,0.5488030382433425,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,15.99,51.16480884838599,448.75,372.0
2023-08-09,370851.6369278325,371021.98820500926,0.0,0.0,0.0,0.0,0.4522737902116622,0.5477262097883377,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,15.96,46.56143022210692,445.75,367.91
2023-08-10,373284.2733976161,373427.18392095616,2000.0,2000.0,0.0,0.0,0.4518950894558054,0.5481049105441946,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,15.85,46.836159596941435,445.91,368.59
2023-08-11,371881.46602029505,372132.03446939704,0.0,0.0,0.0,0.0,0.45333523968356954,0.5466647603164305,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,14.84,46.418541022650395,445.65,366.24
2023-08-14,375093.47182270454,375240.0406803617,0.0,0.0,0.0,0.0,0.4519342267991965,0.5480657732008035,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,14.82,50.88119076136955,448.11,370.35
2023-08-15,370937.28839659505,371062.76329565694,0.0,0.0,0.0,0.0,0.45167440904375344,0.5483255909562466,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,16.46,42.74558947261716,442.89,366.42
2023-08-16,367554.0995384931,367738.76184063155,0.0,0.0,0.0,0.0,0.45248692205238183,0.5475130779476183,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,16.78,38.606624398310025,439.64,362.54
2023-08-17,366085.6743883417,366329.3578056332,2000.0,2000.0,0.0,0.0,0.4532949470574304,0.5467050529425695,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,17.89,34.85973664897844,436.29,358.58
2023-08-18,365914.38197201886,366189.7736710481,0.0,0.0,0.0,0.0,0.45372543135049387,0.5462745686495062,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,17.3,35.28375178056153,436.5,358.13
2023-08-21,370215.10506836866,370317.7454292581,0.0,0.0,0.0,0.0,0.4513723637405585,0.5486276362594414,1.0,1.0,0.45,0.55,elevated,CAPE=30.1:elevated,30.09,17.13,40.88769196006223,439.34,363.9
