date,signal_date,execution_price_mode,strategy_value,benchmark_value,strategy_flow,benchmark_flow,cash,cash_pct,spy_weight_actual,qqq_weight_actual,equity_exposure,multiplier,target_spy_weight,target_qqq_weight,core_spy_weight,core_qqq_weight,satellite_spy_weight,satellite_qqq_weight,panic_tier,satellite_signal,decision_cash_reservoir_pct,regime,reason,cape,vix,rsi14,spy_close,qqq_close,spy_trade_price,qqq_trade_price,strategy_nav,benchmark_nav
2023-05-31,2023-05-30,next_open,99743.59141608875,99744.2182220873,0.0,0.0,0.0,0.0,0.40001508201554736,0.5999849179844527,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,17.46,59.89682057653904,417.85,347.99,418.28,348.37,1.0,1.0
2023-06-01,2023-05-31,next_open,102832.87513451096,102812.37425146239,2000.0,2000.0,0.0,0.0,0.39952153317455885,0.6004784668254411,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.01965725774138281,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,17.94,56.10118864668444,421.82,352.01,418.09,347.73,1.0109208391532463,1.010708951841166
2023-06-02,2023-06-01,next_open,103890.09984249505,103940.9452207582,0.0,0.0,0.0,0.0,0.40117459611663264,0.5988254038833674,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,15.65,60.67396302546593,427.92,354.65,424.5,353.8,1.0213141155016008,1.0218034994553034
2023-06-05,2023-06-02,next_open,103854.0889349377,103877.65886702324,0.0,0.0,0.0,0.0,0.400544685698805,0.599455314301195,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,14.6,66.45582976452098,427.1,354.9,428.28,354.43,1.0209601024796082,1.0211813556256815
2023-06-06,2023-06-05,next_open,103934.14293823714,103982.11182377671,0.0,0.0,0.0,0.0,0.40110767570733136,0.5988923242926686,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,14.73,65.07085110213792,428.03,354.84,426.67,354.28,1.0217470906882642,1.0222081925138056
2023-06-07,2023-06-06,next_open,102733.97857671781,102921.91345233945,0.0,0.0,0.0,0.0,0.4043904043018748,0.5956095956981251,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.96,65.93788365828213,426.55,348.82,428.44,355.13,1.0099486151338084,1.0117857896411881
2023-06-08,2023-06-07,next_open,105760.35379547493,105883.38598074896,2000.0,2000.0,0.0,0.0,0.40279194645309824,0.5972080535469018,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.019095999475805234,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.94,63.247262312030216,429.13,353.15,426.62,349.12,1.0200386189003552,1.0212376566804229
2023-06-09,2023-06-08,next_open,106078.23884779448,106180.13907950999,0.0,0.0,0.0,0.0,0.4023054733824168,0.5976945266175833,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.65,65.86239261245008,429.9,354.5,429.96,354.63,1.0231045601354247,1.024099819014809
2023-06-12,2023-06-09,next_open,107536.70144872057,107556.83713239795,0.0,0.0,0.0,0.0,0.40044938742005903,0.5995506125799409,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.83,66.62565195865452,433.8,360.49,430.92,356.19,1.0371711562064199,1.0373779729051975
2023-06-13,2023-06-12,next_open,108316.02649171333,108324.57053977714,0.0,0.0,0.0,0.0,0.4001893137702452,0.5998106862297549,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,15.01,70.2533838749511,436.66,363.26,435.32,363.29,1.0446875989186493,1.0447827065057054
2023-06-14,2023-06-13,next_open,108839.81093848009,108782.5659190316,0.0,0.0,0.0,0.0,0.39873770410393256,0.6012622958960675,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,14.61,72.60506672339372,437.18,365.9,437.01,363.27,1.049739400888929,1.0492000390602698
2023-06-15,2023-06-14,next_open,112184.6830141931,112131.75850167111,2000.0,2000.0,0.0,0.0,0.398867770299474,0.601132229700526,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.018044058204953712,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.88,73.02266833676882,442.6,370.26,436.33,364.61,1.0627104378179548,1.0622129046646613
2023-06-16,2023-06-15,next_open,111442.85120953199,111381.29284774594,0.0,0.0,0.0,0.0,0.39867429748357086,0.6013257025164291,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=29.9:fair; qqq_strong_satellite_to_qqq,29.939593027231528,14.5,76.96428390450846,439.46,367.93,443.02,372.72,1.0556831647470049,1.0551038187753587
2023-06-20,2023-06-16,next_open,111024.7427321105,110936.82412863357,0.0,0.0,0.0,0.0,0.39809948086208347,0.6019005191379165,1.0,1.25,0.45,0.55,0.4,0.4,0.05,0.15,0,qqq_mild_strength_satellite_qqq_tilt,0.0,fair,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,29.939593027231528,13.54,70.53456060748222,437.18,366.9,437.45,365.95,1.0517224792848034,1.0508934111667605
2023-06-21,2023-06-20,next_open,109887.59669069799,109894.84243931688,0.0,0.0,0.0,0.0,0.40015825076904993,0.5998417492309501,1.0,1.25,0.45,0.55,0.4,0.4,0.05,0.15,0,qqq_mild_strength_satellite_qqq_tilt,0.0,fair,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,29.939593027231528,13.88,66.20930327896305,434.94,361.9,436.16,365.74,1.0409504475326652,1.0410228231049494
2023-06-22,2023-06-21,next_open,112843.22042041851,112759.58264802079,2000.0,2000.0,0.0,0.0,0.39909448426422445,0.6009055157357754,1.0,1.25,0.45,0.55,0.4,0.4,0.05,0.15,0,qqq_mild_strength_satellite_qqq_tilt,0.01787508230719084,fair,CAPE=29.9:fair; qqq_mild_strength_satellite_qqq_tilt,29.939593027231528,13.2,62.17539173865473,436.51,366.17,433.95,360.63,1.0500029428013111,1.049214420393188
