date,signal_date,execution_price_mode,strategy_value,benchmark_value,strategy_flow,benchmark_flow,cash,cash_pct,spy_weight_actual,qqq_weight_actual,equity_exposure,multiplier,target_spy_weight,target_qqq_weight,core_spy_weight,core_qqq_weight,satellite_spy_weight,satellite_qqq_weight,panic_tier,satellite_signal,decision_cash_reservoir_pct,regime,reason,cape,vix,rsi14,spy_close,qqq_close,spy_trade_price,qqq_trade_price,trend_up,qqq_trend_up,spy_drawdown_252d,vix_sma20,spy_ret_21d,qqq_rel_63d,qqq_rel_126d,strategy_nav,benchmark_nav
2023-05-31,2023-05-30,next_open,99743.5912747067,99744.21839561997,0.0,0.0,0.0,0.0,0.40001508959295146,0.5999849104070486,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,17.46,59.95882173483845,402.0994873046875,341.9248962402344,402.51327175353487,342.2982780436562,True,True,-0.009865127763530435,17.707500000000003,0.010218021410618228,0.12178256322569347,0.1627750812887323,1.0,1.0
2023-06-01,2023-05-31,next_open,102832.89106030656,102812.39115245876,2000.0,2000.0,0.0,0.0,0.3995215560087107,0.6004784439912892,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.01965725776869837,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,17.94,56.155158926769374,405.919921875,345.8748779296875,402.33050994129945,341.6694746335876,True,True,-0.015355776442947722,17.7155,0.005631645778204186,0.12637629791289973,0.16109570639297832,1.0109210002535378,1.0107091195261269
2023-06-02,2023-06-01,next_open,103890.11363977032,103940.9612438344,0.0,0.0,0.0,0.0,0.4011746473796048,0.5988253526203953,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,15.65,60.72673112286615,411.7900085449219,348.4688415527344,408.4989090066005,347.6336501039752,True,True,-0.0060004577969295925,17.581,0.0267258419791907,0.12810669487695203,0.17031502815434885,1.021314255723671,1.021803658526648
2023-06-05,2023-06-02,next_open,103854.10365347631,103877.67427573435,0.0,0.0,0.0,0.0,0.40054470157104294,0.5994552984289571,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,14.6,66.5055191457231,411.0008850097656,348.7145080566406,412.1363990044285,348.25269839960436,True,True,0.0,17.306500000000003,0.04877231350869793,0.11527689184989232,0.14662686890109122,1.020960251756768,1.0211815086564922
2023-06-06,2023-06-05,next_open,103934.15497742215,103982.12430712246,0.0,0.0,0.0,0.0,0.40110768583538065,0.5988923141646193,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,14.73,65.11835360790869,411.8958129882813,348.6555480957031,410.5870909976928,348.10531064293906,True,True,-0.0019163251142121362,17.183500000000002,0.05422954387118484,0.11771210337288229,0.14738431937883023,1.0217472136289911,1.0222083167880354
2023-06-07,2023-06-06,next_open,102733.98538707358,102921.92106138318,0.0,0.0,0.0,0.0,0.40439042266922315,0.5956095773307769,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.96,65.98485779738024,410.4715881347656,342.7404479980469,412.2903604628489,348.9404690538599,True,True,0.0,17.032500000000002,0.03732143156331125,0.11163732337181909,0.14794957174359125,1.0099486866184306,1.0117858659821701
2023-06-08,2023-06-07,next_open,105760.36715671964,105883.40070550556,2000.0,2000.0,0.0,0.0,0.40279197704229447,0.5972080229577055,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.019095998234082697,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.94,63.290308925801334,412.9543762207031,346.9949951171875,410.5389787763912,343.03523458791426,True,True,-0.0034577308353367364,16.844,0.03345927906282542,0.09290109874685593,0.1310008786632184,1.0200387548302063,1.021237802987625
2023-06-09,2023-06-08,next_open,106078.25002159516,106180.15292012985,0.0,0.0,0.0,0.0,0.4023055334758395,0.5976944665241605,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.65,65.90420533752763,413.69537353515625,348.3214416503906,413.7531095499645,348.44918068622377,True,True,0.0,16.679499999999997,0.0442899633571745,0.0985577061463625,0.14548485862047178,1.0231046749890216,1.0240999568065934
2023-06-12,2023-06-09,next_open,107536.71207888098,107556.8465014279,0.0,0.0,0.0,0.0,0.4004493592297779,0.599550640770222,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,13.83,66.66706192868207,417.4482727050781,354.20709228515625,414.67685648093624,349.98204800024035,True,True,0.0,16.5245,0.04129837197294206,0.10035081024323511,0.1505488125351493,1.037171265914112,1.0373780676245705
2023-06-13,2023-06-12,next_open,108316.03916831184,108324.58566306074,0.0,0.0,0.0,0.0,0.40018936796022864,0.5998106320397715,1.0,1.25,0.4,0.6000000000000001,0.4,0.4,0.0,0.2,0,qqq_strong_satellite_to_qqq,0.0,fair,CAPE=28.8:fair; qqq_strong_satellite_to_qqq,28.761805827303075,15.01,70.29237089280454,420.2005615234375,356.92877197265625,418.9110749460117,356.9582479049561,True,True,0.0,16.4235,0.05258036740042615,0.09915194001316263,0.15488690593625298,1.0446877284158969,1.044782856755533
